,Date,Precip,Name
0,2021-12-06,0.0,Russian River HaciendaBridge
1,2021-12-07,1.5,Russian River HaciendaBridge
2,2021-12-07,0.5,Russian River HaciendaBridge
3,2021-12-08,0.0,Russian River HaciendaBridge
4,2021-12-09,1.3,Russian River HaciendaBridge
5,2021-12-09,0.0,Russian River HaciendaBridge
6,2021-12-10,0.0,Russian River HaciendaBridge
7,2021-12-11,0.0,Russian River HaciendaBridge
8,2021-12-12,25.1,Russian River HaciendaBridge
9,2021-12-12,35.3,Russian River HaciendaBridge
10,2021-12-13,44.7,Russian River HaciendaBridge
11,2021-12-13,53.6,Russian River HaciendaBridge
12,2021-12-14,24.1,Russian River HaciendaBridge
13,2021-12-14,25.4,Russian River HaciendaBridge
14,2021-12-15,0.0,Russian River HaciendaBridge
15,2021-12-15,0.3,Russian River HaciendaBridge
16,2021-12-16,36.1,Russian River HaciendaBridge
17,2021-12-16,44.5,Russian River HaciendaBridge
18,2021-12-17,0.0,Russian River HaciendaBridge
19,2021-12-18,0.0,Russian River HaciendaBridge
20,2021-12-19,0.0,Russian River HaciendaBridge
21,2021-12-20,0.0,Russian River HaciendaBridge
22,2021-12-21,0.0,Russian River HaciendaBridge
23,2021-12-22,13.7,Russian River HaciendaBridge
24,2021-12-22,14.2,Russian River HaciendaBridge
25,2021-12-23,24.9,Russian River HaciendaBridge
26,2021-12-23,26.7,Russian River HaciendaBridge
27,2021-12-24,21.6,Russian River HaciendaBridge
28,2021-12-24,20.6,Russian River HaciendaBridge
29,2021-12-25,13.0,Russian River HaciendaBridge
30,2021-12-25,12.4,Russian River HaciendaBridge
31,2021-12-26,7.9,Russian River HaciendaBridge
32,2021-12-26,7.4,Russian River HaciendaBridge
33,2021-12-27,16.8,Russian River HaciendaBridge
34,2021-12-27,17.0,Russian River HaciendaBridge
35,2021-12-28,1.3,Russian River HaciendaBridge
36,2021-12-28,0.8,Russian River HaciendaBridge
37,2021-12-29,7.9,Russian River HaciendaBridge
38,2021-12-29,8.9,Russian River HaciendaBridge
39,2021-12-30,1.8,Russian River HaciendaBridge
40,2021-12-30,1.5,Russian River HaciendaBridge
41,2021-12-31,0.0,Russian River HaciendaBridge
42,2022-01-01,0.0,Russian River HaciendaBridge
43,2022-01-02,0.0,Russian River HaciendaBridge
44,2022-01-03,0.0,Russian River HaciendaBridge
45,2022-01-04,21.6,Russian River HaciendaBridge
46,2022-01-04,28.2,Russian River HaciendaBridge
47,2022-01-05,1.0,Russian River HaciendaBridge
48,2022-01-05,0.8,Russian River HaciendaBridge
49,2022-01-06,0.5,Russian River HaciendaBridge
50,2022-01-07,2.5,Russian River HaciendaBridge
51,2022-01-08,2.0,Russian River HaciendaBridge
52,2022-01-08,2.8,Russian River HaciendaBridge
53,2022-01-09,0.0,Russian River HaciendaBridge
54,2022-01-10,0.0,Russian River HaciendaBridge
55,2022-01-11,0.0,Russian River HaciendaBridge
56,2022-01-12,0.0,Russian River HaciendaBridge
57,2022-01-13,0.0,Russian River HaciendaBridge
58,2022-01-14,0.0,Russian River HaciendaBridge
59,2022-01-15,0.0,Russian River HaciendaBridge
60,2022-01-16,0.0,Russian River HaciendaBridge
61,2022-01-17,0.0,Russian River HaciendaBridge
62,2022-01-18,0.0,Russian River HaciendaBridge
63,2022-01-19,0.0,Russian River HaciendaBridge
64,2022-01-20,0.0,Russian River HaciendaBridge
65,2022-01-21,0.0,Russian River HaciendaBridge
66,2022-01-22,0.0,Russian River HaciendaBridge
67,2022-01-23,0.0,Russian River HaciendaBridge
68,2022-01-24,0.0,Russian River HaciendaBridge
69,2021-12-06,0.0,Navarro River
70,2021-12-07,3.6,Navarro River
71,2021-12-08,1.0,Navarro River
72,2021-12-09,0.0,Navarro River
73,2021-12-10,0.0,Navarro River
74,2021-12-11,0.0,Navarro River
75,2021-12-12,23.1,Navarro River
76,2021-12-13,3.6,Navarro River
77,2021-12-18,0.0,Navarro River
78,2021-12-19,0.0,Navarro River
79,2021-12-20,0.5,Navarro River
80,2021-12-21,0.0,Navarro River
81,2021-12-22,24.9,Navarro River
82,2021-12-23,31.8,Navarro River
83,2021-12-24,7.4,Navarro River
84,2021-12-25,21.3,Navarro River
85,2021-12-26,6.6,Navarro River
86,2021-12-27,17.8,Navarro River
87,2021-12-28,2.5,Navarro River
88,2021-12-29,19.1,Navarro River
89,2021-12-30,0.5,Navarro River
90,2021-12-31,0.8,Navarro River
91,2022-01-01,0.0,Navarro River
92,2022-01-02,0.3,Navarro River
93,2022-01-09,0.0,Navarro River
94,2022-01-10,0.5,Navarro River
95,2022-01-11,0.0,Navarro River
96,2022-01-12,0.0,Navarro River
97,2022-01-13,1.0,Navarro River
98,2022-01-14,0.0,Navarro River
99,2022-01-15,0.0,Navarro River
100,2022-01-16,0.0,Navarro River
101,2022-01-17,0.0,Navarro River
102,2022-01-18,0.0,Navarro River
103,2022-01-19,0.0,Navarro River
104,2022-01-20,0.0,Navarro River
105,2022-01-21,0.0,Navarro River
106,2022-01-22,0.0,Navarro River
107,2022-01-23,0.0,Navarro River
108,2022-01-24,0.0,Navarro River
109,2022-01-25,0.0,Navarro River
110,2022-01-26,0.3,Navarro River
111,2022-01-27,0.0,Navarro River
112,2022-01-28,0.0,Navarro River
113,2022-01-29,0.0,Navarro River
114,2022-01-30,0.0,Navarro River
115,2022-01-31,0.0,Navarro River
116,2022-02-01,0.0,Navarro River
117,2022-02-02,0.0,Navarro River
118,2022-02-03,0.0,Navarro River
119,2022-02-04,0.0,Navarro River
120,2022-02-05,0.0,Navarro River
121,2022-02-06,0.0,Navarro River
122,2022-02-07,0.0,Navarro River
123,2022-02-08,0.0,Navarro River
124,2022-02-09,0.0,Navarro River
125,2022-02-10,0.0,Navarro River
126,2022-02-11,0.0,Navarro River
127,2022-02-12,0.0,Navarro River
128,2022-02-13,0.0,Navarro River
129,2022-02-14,0.0,Navarro River
130,2022-02-15,1.8,Navarro River
131,2022-02-16,0.0,Navarro River
132,2022-02-17,0.0,Navarro River
133,2022-02-18,0.0,Navarro River
134,2022-02-19,0.0,Navarro River
135,2022-02-20,0.0,Navarro River
136,2022-02-21,0.0,Navarro River
137,2022-02-22,5.8,Navarro River
138,2022-02-23,0.5,Navarro River
139,2022-02-24,0.0,Navarro River
140,2022-02-25,0.5,Navarro River
141,2022-02-26,0.0,Navarro River
142,2022-02-27,0.0,Navarro River
143,2022-02-28,0.0,Navarro River
144,2022-03-01,0.0,Navarro River
145,2022-03-02,1.0,Navarro River
146,2022-03-03,0.5,Navarro River
147,2022-03-04,0.3,Navarro River
148,2022-03-05,2.8,Navarro River
149,2022-03-06,0.0,Navarro River
150,2021-12-06,0.0,Noyo River
151,2021-12-06,1.0,Noyo River
152,2021-12-07,4.8,Noyo River
153,2021-12-07,3.3,Noyo River
154,2021-12-07,3.6,Noyo River
155,2021-12-07,4.3,Noyo River
156,2021-12-08,0.5,Noyo River
157,2021-12-08,1.0,Noyo River
158,2021-12-08,0.8,Noyo River
